,loss,f1_score1,val_loss,val_f1_score1,lr
0,0.037528328597545624,0.5580542087554932,0.12619225680828094,0.42810767889022827,0.0010000000474974513
1,0.016149617731571198,0.6724016666412354,0.02549298107624054,0.5837021470069885,0.0010000000474974513
2,0.012726623564958572,0.6980489492416382,0.02027112990617752,0.6320633888244629,0.0010000000474974513
3,0.010766190476715565,0.7215160727500916,0.019958605989813805,0.6180996894836426,0.0010000000474974513
4,0.010495834052562714,0.724753201007843,0.021140851080417633,0.7028197646141052,0.0010000000474974513
5,0.010348321869969368,0.7237088680267334,,0.6180304884910583,0.0010000000474974513
6,0.00830649770796299,0.7507624626159668,0.026261113584041595,0.6896283626556396,0.00010000000474974513
7,0.00780112249776721,0.7570366859436035,,0.6914536952972412,0.00010000000474974513
8,0.007496378384530544,0.761058509349823,0.01306911837309599,0.7055195569992065,0.00010000000474974513
9,0.007238626945763826,0.7658926844596863,0.01503781322389841,0.7037876844406128,0.00010000000474974513
10,0.0070539675652980804,0.7694085240364075,0.019129903987050056,0.737146258354187,0.00010000000474974513
11,0.006881748791784048,0.7750767469406128,0.01634753681719303,0.6654726266860962,0.00010000000474974513
12,0.006567473988980055,0.781882643699646,0.014380776323378086,0.6934462785720825,1.0000000656873453e-05
13,0.006491424050182104,0.7829753756523132,0.02005775272846222,0.6962525844573975,1.0000000656873453e-05
14,0.006449742242693901,0.785051167011261,,0.705377995967865,1.0000000656873453e-05
15,0.006420907564461231,0.7857294082641602,0.01728624477982521,0.7425327897071838,1.0000000656873453e-05
16,0.0063835447654128075,0.7858527898788452,0.013883108273148537,0.7152475118637085,1.0000000656873453e-05
17,0.006360706407576799,0.7864093780517578,0.01447826623916626,0.6884049773216248,1.0000000656873453e-05
18,0.006324557587504387,0.7875114679336548,,0.7224598526954651,1.0000001111620804e-06
19,0.006311382632702589,0.7874631881713867,0.021086357533931732,0.620945930480957,1.0000001111620804e-06
20,0.006306287832558155,0.7875685095787048,,0.6132120490074158,1.0000001111620804e-06
21,0.006301550660282373,0.7876567244529724,0.015063459053635597,0.7357888221740723,1.0000001111620804e-06
22,0.006297117564827204,0.7877634763717651,0.016635846346616745,0.7413385510444641,1.0000001111620804e-06
